날짜,유일 경로,값,비율
2026-06-02,검색,1,0.14285714285714285
2026-06-02,기타,2,0.2857142857142857
2026-06-02,미니앱홈,3,0.42857142857142855
2026-06-02,전체탭,1,0.14285714285714285
2026-06-03,검색,2,0.3333333333333333
2026-06-03,기타,1,0.16666666666666666
2026-06-03,미니앱홈,2,0.3333333333333333
2026-06-03,전체탭,1,0.16666666666666666
2026-06-04,검색,1,0.16666666666666666
2026-06-04,기타,1,0.16666666666666666
2026-06-04,미니앱홈,1,0.16666666666666666
2026-06-04,전체탭,3,0.5
2026-06-05,검색,2,0.5
2026-06-05,기타,2,0.5
2026-06-06,기타,1,1.0
2026-06-07,검색,1,0.5
2026-06-07,전체탭,1,0.5
2026-06-08,검색,1,0.25
2026-06-08,기타,2,0.5
2026-06-08,전체탭,1,0.25
2026-06-09,검색,1,0.5
2026-06-09,전체탭,1,0.5
2026-06-10,검색,4,0.6666666666666666
2026-06-10,기타,1,0.16666666666666666
2026-06-10,미니앱홈,1,0.16666666666666666
