날짜,유일 경로,값,비율
2026-06-07,검색,1,0.5
2026-06-07,전체탭,1,0.5
2026-06-08,검색,1,0.25
2026-06-08,기타,2,0.5
2026-06-08,전체탭,1,0.25
2026-06-09,검색,1,0.5
2026-06-09,전체탭,1,0.5
2026-06-10,검색,4,0.6666666666666666
2026-06-10,기타,1,0.16666666666666666
2026-06-10,미니앱홈,1,0.16666666666666666
2026-06-11,미니앱홈,2,0.6666666666666666
2026-06-11,전체탭,1,0.3333333333333333
2026-06-12,기타,2,0.5
2026-06-12,전체탭,2,0.5
2026-06-13,검색,1,0.25
2026-06-13,기타,1,0.25
2026-06-13,미니앱홈,2,0.5
2026-06-15,미니앱홈,1,0.5
2026-06-15,전체탭,1,0.5
2026-06-16,미니앱홈,1,0.5
2026-06-16,전체탭,1,0.5
2026-06-17,검색,1,0.3333333333333333
2026-06-17,기타,1,0.3333333333333333
2026-06-17,전체탭,1,0.3333333333333333
2026-06-18,기타,1,0.25
2026-06-18,미니앱홈,2,0.5
2026-06-18,전체탭,1,0.25
2026-06-19,검색,1,0.3333333333333333
2026-06-19,기타,1,0.3333333333333333
2026-06-19,미니앱홈,1,0.3333333333333333
2026-06-20,미니앱홈,1,1.0
2026-06-21,기타,1,0.5
2026-06-21,전체탭,1,0.5
2026-06-22,검색,2,0.3333333333333333
2026-06-22,기타,2,0.3333333333333333
2026-06-22,미니앱홈,1,0.16666666666666666
2026-06-22,전체탭,1,0.16666666666666666
2026-06-23,기타,1,0.5
2026-06-23,전체탭,1,0.5
2026-06-24,검색,1,0.3333333333333333
2026-06-24,기타,1,0.3333333333333333
2026-06-24,전체탭,1,0.3333333333333333
2026-06-25,기타,2,0.4
2026-06-25,미니앱홈,1,0.2
2026-06-25,전체탭,2,0.4
2026-06-26,미니앱홈,1,0.5
2026-06-26,전체탭,1,0.5
2026-06-27,기타,1,0.5
2026-06-27,미니앱홈,1,0.5
2026-06-28,기타,1,1.0
2026-06-29,기타,2,0.5
2026-06-29,전체탭,2,0.5
2026-06-30,전체탭,1,1.0
2026-07-01,기타,1,1.0
2026-07-02,기타,1,1.0
2026-07-03,검색,1,0.25
2026-07-03,미니앱홈,2,0.5
2026-07-03,전체탭,1,0.25
2026-07-04,미니앱홈,1,1.0
2026-07-06,기타,3,0.42857142857142855
2026-07-06,미니앱홈,2,0.2857142857142857
2026-07-06,전체탭,2,0.2857142857142857
